kills,deaths,+/-,k/d,kills per 10min,deaths per 10min,kills (stayed alive),num lives,avg time per life (s),hill time (s),2-piece
25,22,3,1.14,26.0,22.8,16,23,23.2,106,5
32,21,11,1.52,33.2,21.8,24,22,24.3,42,3
32,23,9,1.39,33.2,23.9,22,24,22.1,56,5
21,15,6,1.4,21.8,15.6,18,16,34.2,97,2
24,29,-5,0.83,24.9,30.1,18,30,17.3,57,5
16,30,-14,0.53,16.6,31.1,12,31,16.7,30,2
16,27,-11,0.59,16.6,28.0,10,28,18.6,64,2
25,24,1,1.04,26.0,24.9,19,25,21.2,48,1
24,22,2,1.09,26.6,24.4,17,25,19.6,63,2
26,16,10,1.62,28.8,17.7,22,18,28.1,77,4
35,17,18,2.06,38.7,18.8,28,19,26.6,72,5
29,20,9,1.45,32.1,22.1,19,21,23.9,82,1
18,27,-9,0.67,19.9,29.9,11,28,17.3,37,1
20,26,-6,0.77,22.1,28.8,12,27,18.1,29,1
23,33,-10,0.7,25.5,36.5,11,34,13.9,29,6
14,28,-14,0.5,15.5,31.0,6,29,16.7,24,0
25,15,10,1.67,29.3,17.6,19,17,28.2,71,3
34,15,19,2.27,39.8,17.6,25,17,28.2,115,5
25,14,11,1.79,29.3,16.4,22,16,30.1,87,5
21,17,4,1.24,24.6,19.9,15,18,26.5,43,3
15,29,-14,0.52,17.6,34.0,9,30,15.0,11,2
13,23,-10,0.57,15.2,27.0,7,27,17.0,38,1
20,26,-6,0.77,23.4,30.5,10,27,17.0,28,2
13,27,-14,0.48,15.2,31.6,9,28,16.3,39,2
29,25,4,1.16,30.2,26.0,20,25,20.9,92,5
19,28,-9,0.68,19.8,29.2,12,29,17.9,49,1
12,24,-12,0.5,12.5,25.0,3,25,21.1,49,0
16,25,-9,0.64,16.7,26.0,10,27,19.3,41,2
22,19,3,1.16,22.9,19.8,12,21,25.5,62,1
28,21,7,1.33,29.2,21.9,22,22,24.2,101,6
22,16,6,1.38,22.9,16.7,15,18,29.6,76,3
30,20,10,1.5,31.2,20.8,21,21,25.5,46,5
37,31,6,1.19,28.7,24.1,28,32,22.2,95,5
30,34,-4,0.88,23.3,26.4,18,35,20.1,90,2
27,39,-12,0.69,21.0,30.3,16,40,17.3,49,5
31,30,1,1.03,24.1,23.3,21,33,21.5,52,2
34,27,7,1.26,26.4,21.0,24,28,25.7,183,4
36,38,-2,0.95,27.9,29.5,23,41,16.8,31,6
28,32,-4,0.88,21.7,24.8,21,33,21.4,10,4
36,28,8,1.29,27.9,21.7,23,29,24.6,27,5
17,26,-9,0.65,15.8,24.2,11,28,20.9,69,2
20,28,-8,0.71,18.6,26.1,11,29,20.2,36,1
18,27,-9,0.67,16.8,25.2,9,28,20.9,27,3
25,28,-3,0.89,23.3,26.1,15,28,21.0,65,3
22,23,-1,0.96,20.5,21.4,14,24,24.7,66,2
31,17,14,1.82,28.9,15.8,25,18,33.9,80,4
29,20,9,1.45,27.0,18.6,23,21,28.5,32,3
27,20,7,1.35,25.2,18.6,23,22,27.3,104,5
17,27,-10,0.63,17.4,27.6,11,28,19.0,78,2
26,29,-3,0.9,26.6,29.7,23,30,17.6,64,5
20,25,-5,0.8,20.5,25.6,11,26,20.5,23,2
27,28,-1,0.96,27.6,28.7,17,30,17.6,41,4
30,22,8,1.36,30.7,22.5,22,23,23.5,92,4
33,21,12,1.57,33.8,21.5,26,23,23.6,105,4
